current_state,previous_state,estimate,margin_of_error,year
NC,VA,30058,4051.0,2013
NC,VT,863,636.0,2013
NC,WA,1929,862.0,2013
NC,WI,1449,749.0,2013
NC,WV,3684,1684.0,2013
NC,WY,35,56.0,2013
NC,AK,2467,1100.0,2014
NC,AL,4264,1390.0,2014
NC,AR,571,371.0,2014
NC,AZ,2246,954.0,2014
NC,CA,16448,3465.0,2014
NC,CO,5108,2333.0,2014
NC,CT,4754,1888.0,2014
NC,DC,1724,618.0,2014
NC,DE,812,539.0,2014
NC,FL,25532,4246.0,2014
NC,GA,15696,3087.0,2014
NC,HI,2546,1593.0,2014
NC,IA,1753,1508.0,2014
NC,ID,293,272.0,2014
NC,IL,7134,1922.0,2014
NC,IN,2349,1058.0,2014
NC,KS,2627,1247.0,2014
NC,KY,2872,1739.0,2014
NC,LA,1195,473.0,2014
NC,MA,3880,1243.0,2014
NC,MD,8196,1815.0,2014
NC,ME,1715,739.0,2014
NC,MI,6339,2316.0,2014
NC,MN,2427,1812.0,2014
NC,MO,2572,971.0,2014
NC,MS,1029,688.0,2014
NC,MT,207,245.0,2014
NC,ND,501,355.0,2014
NC,NE,1096,808.0,2014
NC,NH,1202,661.0,2014
NC,NJ,12697,2741.0,2014
NC,NM,930,822.0,2014
NC,NV,1870,1269.0,2014
NC,NY,26255,5050.0,2014
NC,OH,11082,2979.0,2014
NC,OK,685,410.0,2014
NC,OR,1311,634.0,2014
NC,PA,10594,1993.0,2014
NC,RI,1356,891.0,2014
NC,SC,26379,3891.0,2014
NC,SD,542,560.0,2014
NC,TN,6397,1459.0,2014
NC,TX,15604,3577.0,2014
NC,UT,655,541.0,2014
NC,VA,28250,3587.0,2014
NC,VT,564,388.0,2014
NC,WA,4435,1767.0,2014
NC,WI,1710,856.0,2014
NC,WV,4987,1902.0,2014
NC,WY,675,644.0,2014
NC,AK,578,475.0,2015
NC,AL,3733,1230.0,2015
NC,AR,707,598.0,2015
NC,AZ,5963,2535.0,2015
NC,CA,16985,3902.0,2015
NC,CO,3634,1319.0,2015
NC,CT,6709,2898.0,2015
NC,DC,3401,1465.0,2015
NC,DE,1676,948.0,2015
NC,FL,27771,3998.0,2015
NC,GA,17676,2824.0,2015
NC,HI,2910,1238.0,2015
NC,IA,3180,1574.0,2015
NC,ID,729,787.0,2015
NC,IL,8100,2216.0,2015
NC,IN,4903,3085.0,2015
NC,KS,2260,1117.0,2015
NC,KY,4702,1472.0,2015
NC,LA,2632,1150.0,2015
NC,MA,5387,1498.0,2015
NC,MD,11383,2566.0,2015
NC,ME,1904,1085.0,2015
NC,MI,6588,2158.0,2015
NC,MN,2635,1164.0,2015
NC,MO,3207,1349.0,2015
NC,MS,721,408.0,2015
NC,MT,576,666.0,2015
NC,ND,1176,1211.0,2015
NC,NE,1631,1571.0,2015
NC,NH,1195,933.0,2015
NC,NJ,13233,3260.0,2015
NC,NM,1958,1186.0,2015
NC,NV,1854,1712.0,2015
NC,NY,23594,3163.0,2015
NC,OH,7405,1913.0,2015
NC,OK,1067,637.0,2015
NC,OR,733,582.0,2015
NC,PA,12979,2740.0,2015
NC,RI,838,626.0,2015
NC,SC,27321,4245.0,2015
NC,SD,1730,1235.0,2015
NC,TN,7575,1867.0,2015
NC,TX,15245,3038.0,2015
NC,UT,1278,857.0,2015
NC,VA,31390,3901.0,2015
NC,VT,691,577.0,2015
NC,WA,1883,859.0,2015
NC,WI,1217,608.0,2015
