current_region,previous_division,year,estimate
Northeast,West North Central,2019,23810
Northeast,West South Central,2010,41708
Northeast,West South Central,2011,38386
Northeast,West South Central,2012,41847
Northeast,West South Central,2013,48406
Northeast,West South Central,2014,46081
Northeast,West South Central,2015,47558
Northeast,West South Central,2016,48923
Northeast,West South Central,2017,47008
Northeast,West South Central,2018,54704
Northeast,West South Central,2019,53463
South,East North Central,2010,356381
South,East North Central,2011,364995
South,East North Central,2012,361423
South,East North Central,2013,377450
South,East North Central,2014,370967
South,East North Central,2015,390468
South,East North Central,2016,381114
South,East North Central,2017,373591
South,East North Central,2018,356015
South,East North Central,2019,367230
South,East South Central,2010,271232
South,East South Central,2011,275844
South,East South Central,2012,285786
South,East South Central,2013,277378
South,East South Central,2014,279356
South,East South Central,2015,305395
South,East South Central,2016,294507
South,East South Central,2017,272315
South,East South Central,2018,284539
South,East South Central,2019,255458
South,Middle Atlantic,2010,336763
South,Middle Atlantic,2011,358619
South,Middle Atlantic,2012,382859
South,Middle Atlantic,2013,382299
South,Middle Atlantic,2014,386644
South,Middle Atlantic,2015,428213
South,Middle Atlantic,2016,413321
South,Middle Atlantic,2017,400766
South,Middle Atlantic,2018,391694
South,Middle Atlantic,2019,397776
South,Mountain,2010,177371
South,Mountain,2011,191236
South,Mountain,2012,202279
South,Mountain,2013,209295
South,Mountain,2014,204701
South,Mountain,2015,203486
South,Mountain,2016,200733
South,Mountain,2017,210821
South,Mountain,2018,220583
South,Mountain,2019,233172
South,New England,2010,111818
South,New England,2011,120885
South,New England,2012,110641
South,New England,2013,119156
South,New England,2014,125459
South,New England,2015,137831
South,New England,2016,142694
South,New England,2017,118698
South,New England,2018,139284
South,New England,2019,126044
South,Pacific,2010,300930
South,Pacific,2011,304849
South,Pacific,2012,295325
South,Pacific,2013,312531
South,Pacific,2014,312465
South,Pacific,2015,282457
South,Pacific,2016,308369
South,Pacific,2017,298750
South,Pacific,2018,348580
South,Pacific,2019,335360
South,South Atlantic,2010,890562
South,South Atlantic,2011,894327
South,South Atlantic,2012,913956
South,South Atlantic,2013,923487
South,South Atlantic,2014,954891
South,South Atlantic,2015,984890
South,South Atlantic,2016,972268
South,South Atlantic,2017,933352
South,South Atlantic,2018,973104
South,South Atlantic,2019,976344
South,West North Central,2010,150758
South,West North Central,2011,156974
South,West North Central,2012,156310
South,West North Central,2013,152466
South,West North Central,2014,165971
South,West North Central,2015,177363
South,West North Central,2016,168740
South,West North Central,2017,164489
South,West North Central,2018,182839
South,West North Central,2019,143661
South,West South Central,2010,327183
South,West South Central,2011,327859
South,West South Central,2012,330109
South,West South Central,2013,341697
South,West South Central,2014,325689
South,West South Central,2015,358118
South,West South Central,2016,347413
South,West South Central,2017,363869
South,West South Central,2018,355704
South,West South Central,2019,337545
West,East North Central,2010,145625
West,East North Central,2011,161515
West,East North Central,2012,158165
West,East North Central,2013,151752
West,East North Central,2014,168479
West,East North Central,2015,181172
West,East North Central,2016,171153
West,East North Central,2017,179499
West,East North Central,2018,164272
West,East North Central,2019,153562
West,East South Central,2010,45387
West,East South Central,2011,46082
West,East South Central,2012,55111
