current_state,previous_state,estimate,year,id,name,abbrv,level,parent_id
AK,CT,0,2012,02,Alaska,AK,state,D9
AK,DC,356,2012,02,Alaska,AK,state,D9
AK,DE,0,2012,02,Alaska,AK,state,D9
AK,FL,1991,2012,02,Alaska,AK,state,D9
AK,GA,928,2012,02,Alaska,AK,state,D9
AK,HI,1376,2012,02,Alaska,AK,state,D9
AK,IA,13,2012,02,Alaska,AK,state,D9
AK,ID,538,2012,02,Alaska,AK,state,D9
AK,IL,58,2012,02,Alaska,AK,state,D9
AK,IN,260,2012,02,Alaska,AK,state,D9
AK,KS,221,2012,02,Alaska,AK,state,D9
AK,KY,161,2012,02,Alaska,AK,state,D9
AK,LA,120,2012,02,Alaska,AK,state,D9
AK,MA,297,2012,02,Alaska,AK,state,D9
AK,MD,508,2012,02,Alaska,AK,state,D9
AK,ME,66,2012,02,Alaska,AK,state,D9
AK,MI,563,2012,02,Alaska,AK,state,D9
AK,MN,192,2012,02,Alaska,AK,state,D9
AK,MO,819,2012,02,Alaska,AK,state,D9
AK,MS,56,2012,02,Alaska,AK,state,D9
AK,MT,371,2012,02,Alaska,AK,state,D9
AK,NC,920,2012,02,Alaska,AK,state,D9
AK,ND,264,2012,02,Alaska,AK,state,D9
AK,NE,1195,2012,02,Alaska,AK,state,D9
AK,NH,118,2012,02,Alaska,AK,state,D9
AK,NJ,116,2012,02,Alaska,AK,state,D9
AK,NM,263,2012,02,Alaska,AK,state,D9
AK,NV,803,2012,02,Alaska,AK,state,D9
AK,NY,736,2012,02,Alaska,AK,state,D9
AK,OH,1316,2012,02,Alaska,AK,state,D9
AK,OK,335,2012,02,Alaska,AK,state,D9
AK,OR,3174,2012,02,Alaska,AK,state,D9
AK,PA,255,2012,02,Alaska,AK,state,D9
AK,RI,0,2012,02,Alaska,AK,state,D9
AK,SC,384,2012,02,Alaska,AK,state,D9
AK,SD,99,2012,02,Alaska,AK,state,D9
AK,TN,451,2012,02,Alaska,AK,state,D9
AK,TX,1488,2012,02,Alaska,AK,state,D9
AK,UT,330,2012,02,Alaska,AK,state,D9
AK,VA,1265,2012,02,Alaska,AK,state,D9
AK,VT,79,2012,02,Alaska,AK,state,D9
AK,WA,3725,2012,02,Alaska,AK,state,D9
AK,WI,206,2012,02,Alaska,AK,state,D9
AK,WV,0,2012,02,Alaska,AK,state,D9
AK,WY,136,2012,02,Alaska,AK,state,D9
AK,AL,572,2013,02,Alaska,AK,state,D9
AK,AR,403,2013,02,Alaska,AK,state,D9
AK,AZ,733,2013,02,Alaska,AK,state,D9
AK,CA,2874,2013,02,Alaska,AK,state,D9
AK,CO,2359,2013,02,Alaska,AK,state,D9
AK,CT,22,2013,02,Alaska,AK,state,D9
AK,DC,0,2013,02,Alaska,AK,state,D9
AK,DE,0,2013,02,Alaska,AK,state,D9
AK,FL,781,2013,02,Alaska,AK,state,D9
AK,GA,1808,2013,02,Alaska,AK,state,D9
AK,HI,257,2013,02,Alaska,AK,state,D9
AK,IA,31,2013,02,Alaska,AK,state,D9
AK,ID,555,2013,02,Alaska,AK,state,D9
AK,IL,2012,2013,02,Alaska,AK,state,D9
AK,IN,775,2013,02,Alaska,AK,state,D9
AK,KS,984,2013,02,Alaska,AK,state,D9
AK,KY,206,2013,02,Alaska,AK,state,D9
AK,LA,167,2013,02,Alaska,AK,state,D9
AK,MA,95,2013,02,Alaska,AK,state,D9
AK,MD,528,2013,02,Alaska,AK,state,D9
AK,ME,44,2013,02,Alaska,AK,state,D9
AK,MI,563,2013,02,Alaska,AK,state,D9
AK,MN,111,2013,02,Alaska,AK,state,D9
AK,MO,876,2013,02,Alaska,AK,state,D9
AK,MS,140,2013,02,Alaska,AK,state,D9
AK,MT,195,2013,02,Alaska,AK,state,D9
AK,NC,2744,2013,02,Alaska,AK,state,D9
AK,ND,95,2013,02,Alaska,AK,state,D9
AK,NE,0,2013,02,Alaska,AK,state,D9
AK,NH,16,2013,02,Alaska,AK,state,D9
AK,NJ,233,2013,02,Alaska,AK,state,D9
AK,NM,620,2013,02,Alaska,AK,state,D9
AK,NV,469,2013,02,Alaska,AK,state,D9
AK,NY,694,2013,02,Alaska,AK,state,D9
AK,OH,734,2013,02,Alaska,AK,state,D9
AK,OK,318,2013,02,Alaska,AK,state,D9
AK,OR,1264,2013,02,Alaska,AK,state,D9
AK,PA,1074,2013,02,Alaska,AK,state,D9
AK,RI,0,2013,02,Alaska,AK,state,D9
AK,SC,354,2013,02,Alaska,AK,state,D9
AK,SD,54,2013,02,Alaska,AK,state,D9
AK,TN,570,2013,02,Alaska,AK,state,D9
AK,TX,2477,2013,02,Alaska,AK,state,D9
AK,UT,1363,2013,02,Alaska,AK,state,D9
AK,VA,727,2013,02,Alaska,AK,state,D9
AK,VT,6,2013,02,Alaska,AK,state,D9
AK,WA,2984,2013,02,Alaska,AK,state,D9
AK,WI,216,2013,02,Alaska,AK,state,D9
AK,WV,257,2013,02,Alaska,AK,state,D9
AK,WY,0,2013,02,Alaska,AK,state,D9
AK,AL,603,2014,02,Alaska,AK,state,D9
AK,AR,240,2014,02,Alaska,AK,state,D9
AK,AZ,2049,2014,02,Alaska,AK,state,D9
AK,CA,3419,2014,02,Alaska,AK,state,D9
AK,CO,2017,2014,02,Alaska,AK,state,D9
AK,CT,167,2014,02,Alaska,AK,state,D9
AK,DC,0,2014,02,Alaska,AK,state,D9
AK,DE,56,2014,02,Alaska,AK,state,D9
AK,FL,2681,2014,02,Alaska,AK,state,D9
AK,GA,535,2014,02,Alaska,AK,state,D9
AK,HI,730,2014,02,Alaska,AK,state,D9
AK,IA,123,2014,02,Alaska,AK,state,D9
AK,ID,716,2014,02,Alaska,AK,state,D9
AK,IL,159,2014,02,Alaska,AK,state,D9
AK,IN,183,2014,02,Alaska,AK,state,D9
AK,KS,380,2014,02,Alaska,AK,state,D9
AK,KY,917,2014,02,Alaska,AK,state,D9
AK,LA,844,2014,02,Alaska,AK,state,D9
AK,MA,314,2014,02,Alaska,AK,state,D9
AK,MD,300,2014,02,Alaska,AK,state,D9
AK,ME,131,2014,02,Alaska,AK,state,D9
AK,MI,140,2014,02,Alaska,AK,state,D9
AK,MN,406,2014,02,Alaska,AK,state,D9
AK,MO,1706,2014,02,Alaska,AK,state,D9
AK,MS,423,2014,02,Alaska,AK,state,D9
AK,MT,637,2014,02,Alaska,AK,state,D9
AK,NC,802,2014,02,Alaska,AK,state,D9
AK,ND,144,2014,02,Alaska,AK,state,D9
AK,NE,173,2014,02,Alaska,AK,state,D9
AK,NH,141,2014,02,Alaska,AK,state,D9
AK,NJ,145,2014,02,Alaska,AK,state,D9
AK,NM,217,2014,02,Alaska,AK,state,D9
AK,NV,160,2014,02,Alaska,AK,state,D9
AK,NY,168,2014,02,Alaska,AK,state,D9
AK,OH,568,2014,02,Alaska,AK,state,D9
AK,OK,150,2014,02,Alaska,AK,state,D9
AK,OR,2034,2014,02,Alaska,AK,state,D9
AK,PA,567,2014,02,Alaska,AK,state,D9
AK,RI,78,2014,02,Alaska,AK,state,D9
AK,SC,910,2014,02,Alaska,AK,state,D9
AK,SD,157,2014,02,Alaska,AK,state,D9
AK,TN,355,2014,02,Alaska,AK,state,D9
AK,TX,4549,2014,02,Alaska,AK,state,D9
AK,UT,442,2014,02,Alaska,AK,state,D9
